mlm_07330_00440358085	ഏറ്റവും വലിയ നഗരവും ഇതു തന്നെ
mlm_08777_02095990126	അദ്ദേഹം സ്ഥാപിച്ച ഏഴു പള്ളികൾ ഇവയാണ്
mlm_08777_01689351018	ആൺകുട്ടിക്ക് ഇതിനു വേണ്ട പ്രായം പതിമൂന്ന് വയസ്സും പെൺകുട്ടിക്കു വേണ്ടത് പന്ത്രണ്ട് വയസ്സുമാണ്
mlm_09171_01357301775	അവയിൽ പലതും മുഗൾ സാമ്രാജ്യത്തിന്റെ കൂടുതൽ ക്ഷയത്തിനു കാരണമായി
mlm_03915_02115782201	ആശീർവാദ് സിനിമാസിന്റെ നിർമ്മാണത്തിൽ ആദ്യമായി പുറത്തിറങ്ങിയ ചിത്രമാണ് നരസിംഹം
mlm_08822_01117001703	അതിൽ സൂചന എന്നാണ് അർത്ഥം കൊടുത്തിരിക്കുന്നത്
mlm_00572_02094537347	ഇത് പുരാതന കാലം മുതലേ ഉണ്ടായിരുന്നു
mlm_02501_00952458511	നിങ്ങളുടെ ലക്ഷ്യസ്ഥാനം വലതുവശത്താണ്.
mlm_00950_00168535494	അതുകൊണ്ട് ഈ കൃതികൾക്ക് തമിഴ്‌നാട്ടിലും തെക്കേ ഇന്ത്യൻ സംസ്ഥാനങ്ങളിലും പ്രചാരം കിട്ടാതെപോയി.
mlm_00950_00376900025	ഇതില്‍ കൂടുതലും ഗള്‍ഫ് മേഖലയില്‍ ആണ്‌
mlm_03048_00091282095	ആനകളൂടെ എണ്ണത്തിന്റെ കാര്യത്തിലും പന്തലുകളൂടെ മത്സരങ്ങളിലും ഒരു പോലെ ഉണ്ടായിട്ടുണ്ട്
mlm_02064_02047540747	രാജ്യത്തെ ഏറ്റവും വലിയ നഗരവും ഇത് തന്നെയാണ്
mlm_00572_00521685435	ഇങ്ങനെ കുറെ ഒറ്റവരി ലേഖനങ്ങൾ കണ്ടപ്പോൾ എന്റെ അഭിപ്രായം പറഞ്ഞു എന്നു മാത്രം
mlm_05535_00494489490	അതും ഭക്ഷണത്തെ സമീപിക്കുന്നതിൽ നിന്നും വ്യത്യസ്തമായാണ് കളിപ്പാട്ടങ്ങളെ സമീപിച്ചിരുന്നത്
mlm_00950_00038306775	തല എന്ന വാക്കാല്‍ വിവക്ഷിക്കാവുന്ന ഒന്നിലധികം കാര്യങ്ങളുണ്ട്
mlm_02745_01780460117	ആ പതിപ്പ് തന്നെയാണ് എന്റെ പ്രമാണം
mlm_02064_01623244646	അതോടെ വിപ്ലവം അതിന്റെ ശരിയായ രൂപത്തിൽ ആരംഭിച്ചു
mlm_09171_02121904204	ആറു പേരിൽ രണ്ടുപേർ ന്യായാധിപന്മാരായിരുന്നു
mlm_02064_00466361965	ഇത് ഒരു വിനോദ സഞ്ചാര ആകർഷണമാണ്
mlm_02367_00561071539	അതോടെ മൂന്നാം പൂണിക് യുദ്ധത്തിന് കളം ഒരുങ്ങി
mlm_02501_00252735816	ഡാറ്റ കണക്ഷൻ നഷ്ടമായി
mlm_09171_01714377690	ആദ്യ കാലത്ത് ഇത് കല്ലുകളാൽ ചുറ്റപ്പെട്ട് ചെറിയ ഒരു കുഴി മാത്രമായിരുന്നു
mlm_08822_00729048912	അന്റാർട്ടിക്കയിലെ ഒരു ഭീമൻ മഞ്ഞുപാളിയുടെ സമീപത്തുകൂടിയായിരുന്നു അദ്ദേഹത്തിന്റെ യാത്ര
mlm_04296_00439158766	അതിനെതിരായി കോൺഗ്രസ് ഹർത്താൽ ആചരിച്ചു
