mlf_02879_01795762363	കൂടുതൽ വിവരങ്ങൾ വരുമ്പോൾ തിരിച്ചു ചേർക്കാം
mlf_05401_00863865118	അതിന്റെ വികസിതദശയിൽ ഏതാണ്ട് മുപ്പതോളം ക്ഷേത്രങ്ങൾ പണിതീർത്തിട്ടുണ്ട്
mlf_03132_01162270189	അത്തരം ഏറ്റുപറയൽ അനുരഞ്ജനപ്രക്രിയയുടെ ഭാഗമാണ്
mlf_03228_01299568667	ആരെങ്കിലും ആ പൊതുനിലപാട് സ്വീകരിച്ചില്ലെന്നത് സമ്മാനിതനാവാനുള്ള കാരണമല്ല
mlf_06469_02146596867	അദ്ദേഹം നൂറ്റിയിരുപത്തിയേഴ് റണ്ണുകൾ വാരിക്കൂട്ടി
mlf_01130_00441435203	അർത്ഥം അയക്കപ്പെട്ടവൻ എന്നാണ്
mlf_03132_00994257644	കേരളത്തിലെ ഇടുക്കി ജില്ലയിലാണ് ഇത് സ്ഥിതി ചെയ്യുന്നത്
mlf_09845_00385749917	ആഗോളതലത്തിൽ ദരിദ്ര രാജ്യങ്ങൾക്കായി ബദൽ സാമ്പത്തിക പരിഷ്കരണ നിർദ്ദേശങ്ങൾ നൽകിയും ചാവെസ് ശ്രദ്ധ നേടി
mlf_03132_00155460355	ആൺപൂച്ചയുടെ ലിംഗത്തിൽ പിറകിലേയ്ക്ക് നിൽക്കുന്ന മുളളുകൾ ഉണ്ടാകും
mlf_06262_00092960674	അതിലെ വാക്കുകളുടെ പട്ടികയിലെ ചില വാക്കുകളും നീക്കം ചെയ്യേണ്ടി വന്നു.
mlf_01640_01226361777	നൂറ്റി അന്‍പത്ത് അടിയിൽ
mlf_02484_00912432427	ആണിയുടെ തലയ്ക്കും അസ്ഥിക്കുമിടയിലായി ഒരു അക്കേഷ്യ മരത്തിന്റെ കഷണവും കാണപ്പെട്ടു
mlf_02879_00838532205	അത് അസത്യമാണ്
mlf_01130_00113428251	ആണിയുടെ അഗ്രത്തിൽ ഒലീവ് മരത്തിന്റെ സൂക്ഷ്മഭാഗങ്ങളുണ്ടായിരുന്നു
mlf_06262_00363996689	അശോകന്‍ എന്ന വാക്കിനാല്‍ താഴെപ്പറയുന്ന എന്തിനേയും വിവക്ഷിക്കാം
mlf_04674_01580489795	മംഗളം എന്ന വാക്കാൽ വിവക്ഷിക്കാവുന്ന ഒന്നിലധികം കാര്യങ്ങളുണ്ട്
mlf_04310_01914101782	നാനൂറ് അടി കഴിയുമ്പോൾ
mlf_02321_00047238144	ശോഭന ഒരു പ്രശസ്ത ഭരതനാട്യ നർത്തകി കൂടിയാണ്
mlf_04310_02076007390	അല്പം വലത്തേക്ക് തിരിയുക
mlf_07754_01505916997	അമേരിക്കയും ക്യൂബയും തമ്മിലുള്ള ബന്ധം നാൾക്കുനാൾ മോശമായി വന്നു
mlf_02321_00608811401	ചെറുപ്പം മുതൽക്കേ സംഗീതത്തിന്റെയും നൃത്തത്തിന്റെയും ലോകത്തായിരുന്നു ശ്രീവിദ്യ വളർന്നത്
mlf_03182_01445354061	ആക്രമണമുണ്ടായ ഉടൻ ഒട്ടേറെപ്പേർ പ്രാണരക്ഷാർഥം ഏറ്റവും മുകളിലത്തെ നിലയിലേക്ക് ഓടിക്കയറി
mlf_05023_01123139003	ആദ്യമായി സർക്കാർ സംവിധാനം സുഗമമാക്കാൻ വേണ്ട നടപടികൾ കൈക്കൊണ്ടു
mlf_03435_02037587373	അമൃതം‌ ഗമയ എന്ന ചിത്രത്തിലെ ഡോക്ടറുടെ കഥാപാത്രം ഇതിലൊന്നാണ്
mlf_06469_00378673779	ഏറ്റവും അടുത്ത പട്ടണം കോഴിക്കോട് പട്ടണമാണ്
